wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1067.8512,0,0.58183,7.636e-08,3.8114,4.3933
1067.8611,0,0.58183,7.6369e-08,3.8113,4.3931
1067.8710,0,0.58183,7.6379e-08,3.8112,4.393
1067.8809,0,0.58183,7.6388e-08,3.811,4.3928
1067.8908,0,0.58183,7.6397e-08,3.8109,4.3927
1067.9007,0,0.58183,7.6407e-08,3.8107,4.3926
1067.9106,0,0.58183,7.6416e-08,3.8106,4.3924
1067.9205,0,0.58183,7.6426e-08,3.8104,4.3923
1067.9304,0,0.58183,7.6436e-08,3.8103,4.3921
1067.9403,0,0.58183,7.6445e-08,3.8102,4.392
1067.9502,0,0.58183,7.6455e-08,3.81,4.3919
1067.9601,0,0.58183,7.6465e-08,3.8099,4.3917
1067.9700,0,0.58183,7.6475e-08,3.8097,4.3916
1067.9799,0,0.58183,7.6485e-08,3.8096,4.3914
1067.9898,0,0.58183,7.6495e-08,3.8095,4.3913
1067.9997,0,0.58183,7.6505e-08,3.8094,4.3912
1068.0096,0,0.58183,7.6515e-08,3.8095,4.3913
1068.0195,0,0.58183,7.6525e-08,3.8097,4.3915
1068.0294,0,0.58183,7.6535e-08,3.8099,4.3917
1068.0393,0,0.58183,7.6546e-08,3.8101,4.3919
1068.0492,0,0.58183,7.6556e-08,3.8103,4.3921
1068.0591,0,0.58183,7.6567e-08,3.8105,4.3923
1068.0690,0,0.58183,7.6577e-08,3.8107,4.3925
1068.0789,0,0.58183,7.6588e-08,3.8108,4.3927
1068.0888,0,0.58183,7.6598e-08,3.811,4.3929
1068.0987,0,0.58183,7.6609e-08,3.8112,4.3931
1068.1086,0,0.58183,7.662e-08,3.8114,4.3932
1068.1185,0,0.58183,7.6631e-08,3.8116,4.3934
1068.1284,0,0.58183,7.6642e-08,3.8118,4.3936
1068.1383,0,0.58183,7.6652e-08,3.812,4.3938
1068.1482,0,0.58183,7.6663e-08,3.8122,4.394
1068.1581,0,0.58183,7.6675e-08,3.8124,4.3942
1068.1680,0,0.58183,7.6686e-08,3.8126,4.3944
1068.1779,0,0.58183,7.6697e-08,3.8128,4.3946
